Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Person
0.09765625,0.05078125,336.8848706,-376.2632779,1,-4.567296777,8.690172408,-9.131714079,6.121792067,-3.026519913,1.235989333,-0.390667507,0.06825721,P1
0.11328125,0.05859375,397.3859726,-428.8549434,1,-4.817120607,9.743828173,-10.9619562,7.900393619,-4.203853177,1.835874809,-0.594974956,0.097813925,P1
0.087890625,0.04296875,431.6171954,-396.2369668,1,-4.580112293,8.756424772,-9.268678386,6.257676643,-3.041085732,1.111410144,-0.264111073,0.02849534,P1
0.095703125,0.046875,363.63208,-335.8413618,1,-4.584716985,8.694729029,-9.015613433,6.093289731,-3.480797659,1.909356857,-0.746094771,0.129868375,P1
0.10546875,0.0546875,365.8562702,-440.4027601,1,-4.579351874,8.590179129,-8.548701946,4.976731026,-1.857105257,0.51944,-0.116338181,0.015157867,P1
0.09765625,0.048828125,494.9686578,-486.8143323,1,-5.00430702,10.82045448,-13.53698621,11.26494407,-6.869857311,3.181706757,-1.020980576,0.165038187,P1
0.107421875,0.0546875,315.5337113,-405.8121485,1,-5.129530054,11.45518709,-14.93485424,12.95659509,-7.975359899,3.433373859,-0.91698581,0.111582385,P1
0.1171875,0.060546875,296.0315361,-335.678828,1,-4.567696147,8.716473515,-9.273509971,6.433908159,-3.379627792,1.451845567,-0.457653855,0.076267776,P1
0.1171875,0.060546875,447.591016,-550.9802694,1,-5.30053511,12.15037971,-16.01483914,13.73926831,-8.266704397,3.570669193,-1.022566323,0.144329897,P1
0.107421875,0.056640625,371.8851285,-450.2141709,1,-4.68577517,9.079098818,-9.497068571,6.007733749,-2.576187811,0.873017186,-0.237051244,0.036239634,P1
0.08984375,0.04296875,454.5911955,-450.8448599,1,-4.790772005,9.692219069,-11.03129285,8.20965272,-4.613759713,2.127208935,-0.712890165,0.119646205,P1
0.099609375,0.048828125,382.2850652,-383.5873132,1,-4.921250869,10.37525004,-12.49882546,9.823073698,-5.495822082,2.261202556,-0.635632423,0.092013198,P1
0.1015625,0.05078125,420.9126811,-459.4454021,1,-4.639708488,8.895443956,-9.241241612,5.951445058,-2.841158327,1.236150606,-0.442884355,0.081961362,P1
0.109375,0.056640625,325.3512022,-395.1561646,1,-5.554010103,13.55490678,-19.38201583,18.32418637,-12.15846894,5.663383503,-1.689333491,0.241354181,P1
0.109375,0.056640625,357.8226816,-395.4169209,1,-5.095520252,11.2433889,-14.43639018,12.44078857,-7.881197977,3.721897994,-1.172990263,0.180027825,P1
0.123046875,0.064453125,290.4579216,-379.3174178,1,-5.117109622,11.23969729,-14.1497327,11.71123264,-7.009730211,3.125411018,-0.936251214,0.136484911,P1
0.091796875,0.046875,333.6260786,-366.6080491,1,-4.837957333,9.822928689,-10.96992432,7.555008459,-3.551231345,1.286215679,-0.360630524,0.055609275,P1
0.109375,0.056640625,416.854966,-339.9331893,1,-4.505201756,8.091437785,-7.201507865,3.125749225,-0.553465348,0.167282511,-0.181562305,0.057280015,P1
0.115234375,0.060546875,303.2456988,-344.6391733,1,-4.683071189,9.117184258,-9.739750708,6.606395102,-3.397052086,1.542638872,-0.542393641,0.096055832,P1
